🐖央 视,#genre#
CCTV10,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV11,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV12,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV13,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV14,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV15,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV16,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv16hd8m/8000000/mnf.m3u8
CCTV17,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv17hd8m/8000000/mnf.m3u8

🐖卫 视,#genre#
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
河南卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/hnwshd8m/8000000/mnf.m3u8
河南卫视,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
北京卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
北京卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/bjwshd8m/8000000/mnf.m3u8
北京卫视,https://live.goodiptv.club/api/cqyx.php?id=beijingHD
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/zjwshd8m/8000000/mnf.m3u8
浙江卫视,https://live.goodiptv.club/api/cqyx.php?id=zhejiangHD
江苏卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
江苏卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/jswshd8m/8000000/mnf.m3u8
江苏卫视,https://live.goodiptv.club/api/cqyx.php?id=jiangsuHD
湖南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/hunanwshd8m/8000000/mnf.m3u8
湖南卫视,http://hms3652nc3747353878.live.aikan.miguvideo.com/wh7f454c46tw3392928342_385809398/wd-hunanhd-2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=223.74.138.126×tamp=20230831033923&ContentId=265667721&timezone=UTC&mtv_session=c99689dcb44f4e34e951349e6911d5eb&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=63bd9fba004c1796fbb91fc19fecc553
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
江西卫视,https://live.goodiptv.club/api/cqyx.php?id=jiangxiHD
东方卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
东方卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/dfwshd8m/8000000/mnf.m3u8
东方卫视,https://live.goodiptv.club/api/cqyx.php?id=shanghaiHD
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河北卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/hbwshd8m/8000000/mnf.m3u8
河北卫视,https://live.goodiptv.club/api/cqyx.php?id=hebeiSD
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
海南卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/hainanwshd8m/8000000/mnf.m3u8
海南卫视,http://39.134.67.110/PLTV/88888888/224/3221225978/1.m3u8
深圳卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
深圳卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/szwshd8m/8000000/mnf.m3u8
深圳卫视,https://live.goodiptv.club/api/cqyx.php?id=shenzhenHD
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖北卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖北卫视,https://live.goodiptv.club/api/cqyx.php?id=hubeiSD
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
四川卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/scws8m/8000000/mnf.m3u8
四川卫视,https://live.goodiptv.club/api/cqyx.php?id=sichuanHD
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
天津卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/tjwshd8m/8000000/mnf.m3u8
天津卫视,https://live.goodiptv.club/api/cqyx.php?id=tianjinHD
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
安徽卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/ahwshd8m/8000000/mnf.m3u8
安徽卫视,https://live.goodiptv.club/api/cqyx.php?id=anhuiSD
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
山东卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/sdws8m/8000000/mnf.m3u8
广东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
广东卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/gdwshd8m/8000000/mnf.m3u8
广东卫视,https://live.goodiptv.club/api/cqyx.php?id=guangdongHD
广西卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/gxwshd8m/8000000/mnf.m3u8
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
贵州卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/gzwshd8m/8000000/mnf.m3u8
贵州卫视,https://live.goodiptv.club/api/cqyx.php?id=guizhouHD
辽宁卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
辽宁卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/lnwshd8m/8000000/mnf.m3u8
辽宁卫视,https://live.goodiptv.club/api/cqyx.php?id=liaoningHD
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
重庆卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cqws8m/8000000/mnf.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
黑龙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
黑龙江卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/hljwshd8m/8000000/mnf.m3u8
黑龙江卫视,https://live.goodiptv.club/api/cqyx.php?id=heilongjiangHD
甘肃卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/gswshd8m/8000000/mnf.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
吉林卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/jlwshd8m/8000000/mnf.m3u8
吉林卫视,https://live.goodiptv.club/api/cqyx.php?id=jilinHD
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东南卫视,https://live.goodiptv.club/api/cqyx.php?id=dongnanHD
云南卫视,http://221.0.78.198:1681/hls/10241/index.m3u8
云南卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/dnwshd8m/8000000/mnf.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/tv/nxws.m3u8
三沙卫视,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/sswshd8m/8000000/mnf.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws

直 播,#genre#
周星驰,https://www.goodiptv.club/huya/11342412
极限挑战,https://www.goodiptv.club/huya/11352914
茶啊二中,https://www.goodiptv.club/huya/11213191
性感大妈,https://www.goodiptv.club/huya/11602075
做人最要要紧开心,https://www.goodiptv.club/huya/23824164
小龙人爱看动漫,https://www.goodiptv.club/huya/29113428
地狱ヽ妖妖,https://www.goodiptv.club/huya/11352869
小木子先生丶,https://www.goodiptv.club/huya/11342396
薛教授,https://www.goodiptv.club/huya/11342385
柠檬树下你和我,https://www.goodiptv.club/huya/11352892
还我瓢瓢拳,https://www.goodiptv.club/huya/21059578
武林萌主唐小姐,https://www.goodiptv.club/huya/11336726
刑罚梅乾,https://www.goodiptv.club/huya/691257
香港喜剧大全,https://www.goodiptv.club/huya/23865080
堆堆港剧日常,https://www.goodiptv.club/huya/23903123
海绵宝宝宝,https://www.goodiptv.club/huya/11352919
鯎爺,https://www.goodiptv.club/huya/11352944
我是詹密,https://www.goodiptv.club/huya/11342439
荒野达人,https://www.goodiptv.club/huya/11352975
萌新司机,https://www.goodiptv.club/huya/11352881
裸奔的蜗牛╮,https://www.goodiptv.club/huya/11342418
心疼得抱住胖胖的自己,https://www.goodiptv.club/huya/11342425
不发威当我Kitty,https://www.goodiptv.club/huya/11342403
四大裁子之首,https://www.goodiptv.club/huya/11602058
大漠叔叔,https://www.goodiptv.club/douyu/1109218
我是郭杰瑞,https://www.goodiptv.club/douyu/7357786
篮球人物,https://www.goodiptv.club/douyu/8434598
都市夜魔人老王,https://www.goodiptv.club/douyu/610972
敬汉卿,https://www.goodiptv.club/douyu/2912165
活捉一只小怡寶,https://www.goodiptv.club/douyu/434971
白了个痴,https://www.goodiptv.club/douyu/319576
UnaDirezione,https://www.goodiptv.club/douyu/218859
少女可乐橙,https://www.goodiptv.club/douyu/20415
贾贵队长真男神,https://www.goodiptv.club/douyu/299854
进击的神乐,https://www.goodiptv.club/douyu/85894
当燕双鹰遇见李元芳,https://www.goodiptv.club/douyu/3439096
睡不着的小圆子,https://www.goodiptv.club/douyu/6566658
进击の神乐,https://www.goodiptv.club/douyu/122402
橙記Orange丶,https://www.goodiptv.club/douyu/4549169
周杰伦颜老师,https://www.goodiptv.club/douyu/7537296
伊太刀刀,https://www.goodiptv.club/douyu/747764
是一坨蓝翔啊,https://www.goodiptv.club/douyu/276200
爱情公寓95001,https://www.goodiptv.club/douyu/11720507
狂拽酷炫,https://www.goodiptv.club/douyu/4332
线条小狗a,https://www.goodiptv.club/douyu/11279861
PP看动漫,https://www.goodiptv.club/douyu/9837291

解 说,#genre#
阿斗归来了,https://www.goodiptv.club/huya/13303478
小驴影视,https://www.goodiptv.club/huya/24531382
牛叔说电影,https://www.goodiptv.club/douyu/2758565
小片片说大片,https://www.goodiptv.club/douyu/4258555
火龙果说电影,https://www.goodiptv.club/douyu/9559158
大鱼爱路飞,https://www.goodiptv.club/huya/25818873
DD-解说,https://www.goodiptv.club/huya/25650806
虫哥说电影,https://www.goodiptv.club/douyu/8915074
电影最TOP,https://www.goodiptv.club/huya/11774959
刘老师说电影,https://www.goodiptv.club/douyu/8317926
史君说剧,https://www.goodiptv.club/douyu/9419771
